"id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","Qa[SQ001]","Qa[SQ002]","Qa[SQ003]","Qa[SQ004]","Q1[SQ001]","Q1[SQ002]","Q1[SQ003]","Q1[SQ004]","Q1[SQ005]","Q1[SQ006]","Q1[SQ007]","Q2[SQ001]","Q2[SQ002]","Q2[SQ003]","Q2[SQ004]","Q2[SQ005]","Q2[SQ006]","Q2[SQ007]","Q2[SQ008]","Q2[SQ009]","Q2a","Q2b","Q3[SQ001]","Q3[SQ002]","Q5[SQ001]","Q5[SQ002]","Q5[SQ003]","Q5[SQ004]","Q5[SQ005]","Q5[other]","Q6[SQ001]","Q6[SQ003]","Q6[SQ005]","Q6[SQ006]","Q6[SQ007]","Q6[SQ009]","Q6[SQ010]","Q6[SQ011]","Q6[SQ012]","Q6[SQ013]","Q6a","Q4[SQ003]","Q4[SQ004]","Q4[SQ005]","Q4[SQ006]","Q4[SQ007]","Q4[SQ013]","Q4[SQ008]","Q4[SQ009]","Q4[SQ010]","Q4[SQ011]","Q4[SQ012]","Q2c[SQ007]","Q2c[SQ008]","Q2c[SQ009]","Q2c[SQ010]","Q2c[SQ011]","Q2c[SQ012]","Q2c[SQ013]","Q2c[SQ014]","Q2c[SQ015]","Q2c[SQ016]","Q7[SQ001]","Q7[SQ002]","Q7[SQ003]","Q7[SQ004]","Q7[SQ005]","Q7[SQ006]","Q7[SQ007]","Q7[SQ008]","Q7[SQ009]","Q8[SQ001]","Q8[SQ003]","Q8[SQ004]","Q8[SQ005]","Q8[SQ006]","Q8[SQ007]","Q8[SQ008]","Q8[SQ009]","Q8[SQ010]","Q8[SQ011]","Q8[SQ012]","Q9","Q10","Q11[SQ001]","Q11[SQ002]","Q11[SQ003]","Q11[SQ004]","Q11[SQ005]","Q11[SQ006]","Q11[SQ007]","Q11[SQ008]","Q11[SQ009]","Q11[SQ010]","Q11[SQ011]","Q11[SQ012]","Q11[SQ013]","Q11[SQ014]","Q11[SQ015]","Q15","Q15[other]","Q13","Q13[other]","Q14","Q14[other]","Q16","Q16[other]","Q17","Q18","Q18[other]","Q19","Q19[other]","Q20","Q20[other]","Q26"
"70","","1","en","1821708955","Pzf3Uvacok8dUka","2021-03-17 18:58:31","2021-03-17 18:59:18","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","2","en","446254559","khJqKRBFjwaq38z","2021-03-17 18:58:34","2021-03-17 19:03:11","Yes","Yes","Yes","Yes","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Important","Important","Neither important nor unimportant","Important","Important","Neither important nor unimportant","Very important","Important","Important","too much emphasis is put on acquiring grants","the acquisition of grants as a strict requirement ","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","","1","en","1748045930","7H6YgniOzeJjom2","2021-03-17 18:59:13","2021-03-17 18:59:33","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","","","en","499243354","2nNCrizbGaXKWJS","2021-03-17 19:00:00","2021-03-17 19:00:00","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","","1","en","1435466719","XFfNHtJuqBOHFHd","2021-03-17 19:01:55","2021-03-17 19:02:11","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","","","en","1486164020","daIgpiXOgOaBrXx","2021-03-17 19:06:22","2021-03-17 19:06:22","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","","2","en","139789833","khtuJMoVa6zcMbj","2021-03-17 19:10:00","2021-03-17 19:13:37","Yes","Yes","Yes","Yes","I don't know","I don't know","I don't know","Completely agree","I don't know","I don't know","I don't know","Neither important nor unimportant","Neither important nor unimportant","Important","Important","Important","Unimportant","Important","Important","Important","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","","1","en","462311190","YjOa6afZ9Hp3b5x","2021-03-17 19:17:30","2021-03-17 19:17:43","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","","3","en","2012101728","jTK9TWIRKweSDVf","2021-03-17 19:20:27","2021-03-17 19:46:39","Yes","Yes","Yes","Yes","Neither agree or disagree","Disagree","Neither agree or disagree","Completely disagree","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree","Neither important nor unimportant","Neither important nor unimportant","Unimportant","Unimportant","Important","Important","Very important","Important","Neither important nor unimportant","","The quantitative criterion could be an alternative to the qualitative criterion of production","Very aware","Very aware","No","No","No","Yes","Yes","My university's Open Access policy documents","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","","Rarely","Always","Never","Never","Always","Never","Always","Always","Rarely","Rarely","Rarely","Neither established nor unestablished","Unestablished","Neither established nor unestablished","Unestablished","Neither established nor unestablished","Neither established nor unestablished","Neither established nor unestablished","Unestablished","Neither established nor unestablished","Established","Agree","Disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Very important","Neither important nor unimportant","Neither important nor unimportant","Important","Neither important nor unimportant","Important","Important","Important","Very important","Important","Important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","","2","en","8119190","A71MLsgdk97xiPr","2021-03-17 19:23:10","2021-03-17 19:42:19","Yes","Yes","Yes","Yes","I don't know","Completely agree","Completely agree","Completely agree","Agree","Agree","Completely agree","Very important","Very important","Very important","Important","Important","Neither important nor unimportant","Important","Neither important nor unimportant","Neither important nor unimportant","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","","1","en","723330018","169hSSyEyraMAXd","2021-03-17 19:23:25","2021-03-17 19:25:48","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","","1","en","109657847","S0znalFxjI5g4Hm","2021-03-17 19:25:39","2021-03-17 19:26:06","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","3","en","1641703772","Ef1Skw7T6ftkynv","2021-03-17 19:27:20","2021-03-17 19:40:28","Yes","Yes","Yes","Yes","Agree","Neither agree or disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Important","Important","I don't know","Unimportant","Neither important nor unimportant","I don't know","Important","Neither important nor unimportant","Neither important nor unimportant","Rice University lurches from provost to provost, as do the standards for tenure. After two provosts with less than admirable records concerning romantic relationships with subordinates, we have managed to have two on a conventional ethical plane. Standards remain ambiguous but at least now our provosts seem to end following the rules they’re tasked with enforcing. ","I think it is the arbitrariness of standards and the administrators that enforce them. Some genuine administrative talent would go a long way. ","Aware","Aware","No","No","No","Yes","No","","I don't know","No","No","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Yes","","Sometimes","Sometimes","Often","Often","Often","Never","Never","Never","I don't know","Never","Never","I don't know","I don't know","I don't know","Not established at all","I don't know","Not established at all","Not established at all","Not established at all","Not established at all","Not established at all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","","","en","207899965","EdDKDdIHYlLXdba","2021-03-17 19:29:27","2021-03-17 19:29:27","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","","1","en","1143088615","KtIukLvB6BLyCKv","2021-03-17 19:32:03","2021-03-17 19:32:24","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103","","1","en","321340543","nZU33Y8FkamcBn9","2021-03-17 20:03:22","2021-03-17 20:03:59","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104","","3","en","195743089","wVqGlu0zR7BVHPq","2021-03-17 20:12:49","2021-03-17 20:21:50","Yes","Yes","Yes","Yes","I don't know","I don't know","Completely disagree","Completely disagree","Completely disagree","I don't know","I don't know","Important","Important","Neither important nor unimportant","Neither important nor unimportant","Important","Completely unimportant","Very important","Important","Important","Having good relations with colleagues in higher academic positions","The one I said above","Neither aware nor unaware","Neither aware nor unaware","No","No","No","Yes","Yes","","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","Always","Always","Always","Always","I don't know","I don't know","I don't know","I don't know","Always","I don't know","I don't know","Very established","Very established","Neither established nor unestablished","Very established","Very established","Neither established nor unestablished","Neither established nor unestablished","Established","Established","I don't know","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","","2","en","69116250","eHnJSl2Pw9zlehA","2021-03-17 20:20:03","2021-03-17 20:21:49","Yes","Yes","Yes","Yes","Completely agree","Completely agree","Neither agree or disagree","Agree","Agree","Disagree","Neither agree or disagree","Very important","Very important","Very important","Unimportant","Unimportant","I don't know","Important","Unimportant","Neither important nor unimportant","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106","","1","en","1792330658","GeuZuQ6pFzzWcRZ","2021-03-17 20:25:45","2021-03-17 20:25:57","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109","","1","en","495817216","mgFtAAkT5bat5TQ","2021-03-17 20:40:43","2021-03-17 20:40:54","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110","","1","en","1212104837","WtKkOYOZRz1uBNJ","2021-03-17 20:44:07","2021-03-17 20:44:31","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"112","","1","en","1274263829","drjlTq7cwRvIYU8","2021-03-17 21:12:06","2021-03-17 21:12:26","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114","","2","en","640240206","CSjUFBQxD7lv21X","2021-03-17 21:17:13","2021-03-17 21:19:35","Yes","Yes","Yes","Yes","Agree","Agree","Agree","Neither agree or disagree","Disagree","Neither agree or disagree","Neither agree or disagree","Neither important nor unimportant","Neither important nor unimportant","Neither important nor unimportant","Neither important nor unimportant","Important","Unimportant","Important","Important","Important","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116","","2","en","257782817","NO9hVu9u8wZrPzt","2021-03-17 21:20:57","2021-03-17 21:22:43","Yes","Yes","Yes","Yes","Completely agree","Completely agree","Completely agree","Completely disagree","Neither agree or disagree","Agree","Agree","Important","Important","Unimportant","Completely unimportant","Neither important nor unimportant","Completely unimportant","Completely unimportant","Neither important nor unimportant","Completely unimportant","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118","","1","en","1689623230","4RhfOMlEEFxGhPK","2021-03-17 21:31:04","2021-03-17 21:33:55","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"119","","1","en","749815507","rJyKFI6nVdZbCar","2021-03-17 21:44:28","2021-03-17 21:44:42","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"123","","1","en","695511363","xIpeck1C9AnRYd4","2021-03-17 22:35:49","2021-03-17 22:37:06","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126","","2","en","1950900507","BLN0E3mXXpaEujl","2021-03-17 23:10:39","2021-03-17 23:17:41","Yes","Yes","Yes","Yes","Completely agree","I don't know","Disagree","Completely disagree","Completely disagree","Completely agree","Completely agree","Important","Important","Neither important nor unimportant","Unimportant","Unimportant","Completely unimportant","Completely unimportant","Completely unimportant","Completely unimportant","publication in ranked journals, such as ut-dallas or ft50. these are not necessarily the highest impact journals, but have the highest prestige.","more focus on citations","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","","1","en","528028450","e4YZ0N97vwck6fV","2021-03-17 23:22:48","2021-03-17 23:23:03","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","","-1","en","1303127634","TWonYOjktYiaY0z","2021-03-17 23:52:20","2021-03-17 23:54:28","Yes","Yes","Yes","Yes","I don't know","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131","","","en","1181160241","mDXDtF1Dzs7a2o4","2021-03-17 23:52:35","2021-03-17 23:52:35","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133","","3","en","1193476005","SH1NbtVs9QBgtEe","2021-03-17 23:55:12","2021-03-18 00:02:15","Yes","Yes","Yes","Yes","Agree","Neither agree or disagree","Agree","Neither agree or disagree","Neither agree or disagree","Agree","Agree","Important","Important","Very important","Important","Important","Completely unimportant","Important","Important","Important","","","Very aware","Aware","No","No","Yes","Yes","Yes","","Yes","Yes","I don't know","I don't know","No","No","I don't know","I don't know","No","I don't know","","Sometimes","Always","Rarely","Rarely","Sometimes","Rarely","Often","I don't know","Sometimes","Sometimes","Often","Neither established nor unestablished","Neither established nor unestablished","I don't know","I don't know","Neither established nor unestablished","I don't know","I don't know","Neither established nor unestablished","Neither established nor unestablished","Established","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134","","3","en","2079104324","4QiSRXs4UAIaS8S","2021-03-17 23:56:06","2021-03-18 00:03:36","Yes","Yes","Yes","Yes","Agree","Agree","Agree","Agree","Neither agree or disagree","Agree","Neither agree or disagree","Important","Important","Neither important nor unimportant","Unimportant","Important","Important","Important","Important","Important","","Peer review activity","Very aware","Neither aware nor unaware","No","No","Yes","No","Yes","","No","No","No","No","No","No","No","No","Yes","No","","Often","Often","I don't know","Often","Sometimes","Sometimes","Rarely","Never","Rarely","Rarely","Rarely","Neither established nor unestablished","Not established at all","Unestablished","Neither established nor unestablished","Established","Established","Established","Unestablished","Very established","Very established","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","","5","en","1765804056","OJA7sLYI9o9Do7B","2021-03-18 00:29:23","2021-03-18 00:40:46","Yes","Yes","Yes","Yes","Agree","I don't know","Completely disagree","Disagree","Agree","Neither agree or disagree","Agree","Important","Important","Unimportant","Important","Neither important nor unimportant","Important","Neither important nor unimportant","Neither important nor unimportant","Unimportant","Member of scientific society. Member of editorisl biard","","Aware","Aware","No","No","Yes","Yes","Yes","","No","No","No","No","No","No","No","No","No","No","","Sometimes","Often","Always","Always","Rarely","Often","Sometimes","Often","I don't know","I don't know","I don't know","Neither established nor unestablished","Neither established nor unestablished","Unestablished","Established","Established","Established","Neither established nor unestablished","Very established","Established","Very established","Neither agree nor disagree","Agree","Agree","Agree","Completely agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Important","Very important","Neither important nor unimportant","Important","Neither important nor unimportant","Important","Important","Important","Neither important nor unimportant","Neither important nor unimportant","Unimportant","","","Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Agree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Female","","Other","","Yes","","Tenured/permanent professor","","1985","Both research and teaching intensive","","< 500","","Medicine","",""
"136","","1","en","1343527587","9TWYH5r3feHKSNj","2021-03-18 01:23:20","2021-03-18 01:23:39","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","","-1","en","448540834","dY3p7WAbq1L4jao","2021-03-18 03:27:50","2021-03-18 03:28:22","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
